atlas_tool,source_requirement,ui_field_or_output,code_function,source_type,delphi_statement_id,ccrf_element_or_domain,mapping_strength,implementation_role,evidence_detected,evidence_alias_hits,evidence_line_or_count,notes
Standardized Cohort Builder,Case definition,case_definition,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S1-S8; S41-S44,Diagnosis source / case-definition fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,8,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Symptoms,symptoms,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S1-S8,Core symptom and history fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,7,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Phenotype distribution,phenotype_distribution,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S1-S8,Phenotype distribution / body-region fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,10,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Pain and tenderness,pain_tenderness,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S1-S8; S45-S52,Pain score / symptom severity fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,5,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Bruising and heaviness,bruising_heaviness,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S1-S8,Symptom signs / bruising-heaviness fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,2,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Stage and severity,stage_severity,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S1-S8; S45-S52,Stage / severity / phenotype grade fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,4,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Anthropometry and body composition,anthropometry,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S9-S18; S41-S44,"Height, weight, BMI, waist, hip, limb measures",Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,10,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Oedema/fluid and lymphatic overlap,fluid_overlap,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S9-S18; S19-S28,Fluid/lymphatic assessment and overlap fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,9,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Differential diagnosis,differential_diagnosis,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S19-S28; S41-S44,Differential review fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,8,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Comorbidities and overlap conditions,comorbidities,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S19-S28; S45-S52,Comorbidity / overlap-condition fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,5,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Comparator strategy,comparator_strategy,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S41-S44; S53-S59,Comparator / control-group planning fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,7,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Treatment exposure,treatment_exposure,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S29-S40; S45-S52,Conservative/surgical treatment exposure fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,4,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Outcomes and follow-up,outcomes_followup,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S29-S40; S45-S52,Outcomes / follow-up / adverse event fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,5,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Family history and genetics,family_genetics,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S53-S59,Family history / genetics study fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,7,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Biomarkers and omics,biomarkers_omics,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S53-S59,Biomarker/omics/specimen metadata fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,5,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Diagnostic-noise audit,Case definition,case_definition,buildDiagnosticNoiseAudit; diagnosticNoiseMatrixHtml,Delphi+CCRF,S1-S8; S41-S44,Diagnosis source / case-definition fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,7,LipoScope.html:12151; LipoScope.html:12184,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Diagnostic-noise audit,Symptoms,symptoms,buildDiagnosticNoiseAudit; diagnosticNoiseMatrixHtml,Delphi+CCRF,S1-S8,Core symptom and history fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,7,LipoScope.html:12151; LipoScope.html:12184,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Diagnostic-noise audit,Anthropometry and body composition,anthropometry,buildDiagnosticNoiseAudit; diagnosticNoiseMatrixHtml,Delphi+CCRF,S9-S18; S41-S44,"Height, weight, BMI, waist, hip, limb measures",Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,10,LipoScope.html:12151; LipoScope.html:12184,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Diagnostic-noise audit,Oedema/fluid and lymphatic overlap,fluid_overlap,buildDiagnosticNoiseAudit; diagnosticNoiseMatrixHtml,Delphi+CCRF,S9-S18; S19-S28,Fluid/lymphatic assessment and overlap fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,9,LipoScope.html:12151; LipoScope.html:12184,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Diagnostic-noise audit,Differential diagnosis,differential_diagnosis,buildDiagnosticNoiseAudit; diagnosticNoiseMatrixHtml,Delphi+CCRF,S19-S28; S41-S44,Differential review fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,7,LipoScope.html:12151; LipoScope.html:12184,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Diagnostic-noise audit,Comorbidities and overlap conditions,comorbidities,buildDiagnosticNoiseAudit; diagnosticNoiseMatrixHtml,Delphi+CCRF,S19-S28; S45-S52,Comorbidity / overlap-condition fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,5,LipoScope.html:12151; LipoScope.html:12184,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Diagnostic-noise audit,Comparator strategy,comparator_strategy,buildDiagnosticNoiseAudit; diagnosticNoiseMatrixHtml,Delphi+CCRF,S41-S44; S53-S59,Comparator / control-group planning fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,7,LipoScope.html:12151; LipoScope.html:12184,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Diagnostic-noise audit,Family history and genetics,family_genetics,buildDiagnosticNoiseAudit; diagnosticNoiseMatrixHtml,Delphi+CCRF,S53-S59,Family history / genetics study fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,6,LipoScope.html:12151; LipoScope.html:12184,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Diagnostic-noise audit,Biomarkers and omics,biomarkers_omics,buildDiagnosticNoiseAudit; diagnosticNoiseMatrixHtml,Delphi+CCRF,S53-S59,Biomarker/omics/specimen metadata fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,5,LipoScope.html:12151; LipoScope.html:12184,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Diagnostic-noise audit,Future validation and reproducibility needs,future_validation,buildDiagnosticNoiseAudit; diagnosticNoiseMatrixHtml,Delphi+CCRF+PubMed,S53-S59,Study-specific / validation / exploratory fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,7,LipoScope.html:12151; LipoScope.html:12184,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Blueprint Export,Case definition,case_definition,buildEligibilityPlan; cohortTemplateHtml; cohortTemplateText; cohortMethodsSentence; cohortCaseCsvRows; downloadAtlasExport,Delphi+CCRF,S1-S8; S41-S44,Diagnosis source / case-definition fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,7,LipoScope.html:12359; LipoScope.html:12356; LipoScope.html:12429; LipoScope.html:12433; LipoScope.html:12590; LipoScope.html:1857,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Blueprint Export,Symptoms,symptoms,buildEligibilityPlan; cohortTemplateHtml; cohortTemplateText; cohortMethodsSentence; cohortCaseCsvRows; downloadAtlasExport,Delphi+CCRF,S1-S8,Core symptom and history fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,7,LipoScope.html:12359; LipoScope.html:12356; LipoScope.html:12429; LipoScope.html:12433; LipoScope.html:12590; LipoScope.html:1857,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Blueprint Export,Phenotype distribution,phenotype_distribution,buildEligibilityPlan; cohortTemplateHtml; cohortTemplateText; cohortMethodsSentence; cohortCaseCsvRows; downloadAtlasExport,Delphi+CCRF,S1-S8,Phenotype distribution / body-region fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,10,LipoScope.html:12359; LipoScope.html:12356; LipoScope.html:12429; LipoScope.html:12433; LipoScope.html:12590; LipoScope.html:1857,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Blueprint Export,Pain and tenderness,pain_tenderness,buildEligibilityPlan; cohortTemplateHtml; cohortTemplateText; cohortMethodsSentence; cohortCaseCsvRows; downloadAtlasExport,Delphi+CCRF,S1-S8; S45-S52,Pain score / symptom severity fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,5,LipoScope.html:12359; LipoScope.html:12356; LipoScope.html:12429; LipoScope.html:12433; LipoScope.html:12590; LipoScope.html:1857,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Blueprint Export,Stage and severity,stage_severity,buildEligibilityPlan; cohortTemplateHtml; cohortTemplateText; cohortMethodsSentence; cohortCaseCsvRows; downloadAtlasExport,Delphi+CCRF,S1-S8; S45-S52,Stage / severity / phenotype grade fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,3,LipoScope.html:12359; LipoScope.html:12356; LipoScope.html:12429; LipoScope.html:12433; LipoScope.html:12590; LipoScope.html:1857,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Blueprint Export,Anthropometry and body composition,anthropometry,buildEligibilityPlan; cohortTemplateHtml; cohortTemplateText; cohortMethodsSentence; cohortCaseCsvRows; downloadAtlasExport,Delphi+CCRF,S9-S18; S41-S44,"Height, weight, BMI, waist, hip, limb measures",Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,9,LipoScope.html:12359; LipoScope.html:12356; LipoScope.html:12429; LipoScope.html:12433; LipoScope.html:12590; LipoScope.html:1857,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Blueprint Export,Oedema/fluid and lymphatic overlap,fluid_overlap,buildEligibilityPlan; cohortTemplateHtml; cohortTemplateText; cohortMethodsSentence; cohortCaseCsvRows; downloadAtlasExport,Delphi+CCRF,S9-S18; S19-S28,Fluid/lymphatic assessment and overlap fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,9,LipoScope.html:12359; LipoScope.html:12356; LipoScope.html:12429; LipoScope.html:12433; LipoScope.html:12590; LipoScope.html:1857,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Blueprint Export,Differential diagnosis,differential_diagnosis,buildEligibilityPlan; cohortTemplateHtml; cohortTemplateText; cohortMethodsSentence; cohortCaseCsvRows; downloadAtlasExport,Delphi+CCRF,S19-S28; S41-S44,Differential review fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,7,LipoScope.html:12359; LipoScope.html:12356; LipoScope.html:12429; LipoScope.html:12433; LipoScope.html:12590; LipoScope.html:1857,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Blueprint Export,Comorbidities and overlap conditions,comorbidities,buildEligibilityPlan; cohortTemplateHtml; cohortTemplateText; cohortMethodsSentence; cohortCaseCsvRows; downloadAtlasExport,Delphi+CCRF,S19-S28; S45-S52,Comorbidity / overlap-condition fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,5,LipoScope.html:12359; LipoScope.html:12356; LipoScope.html:12429; LipoScope.html:12433; LipoScope.html:12590; LipoScope.html:1857,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Blueprint Export,Comparator strategy,comparator_strategy,buildEligibilityPlan; cohortTemplateHtml; cohortTemplateText; cohortMethodsSentence; cohortCaseCsvRows; downloadAtlasExport,Delphi+CCRF,S41-S44; S53-S59,Comparator / control-group planning fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,6,LipoScope.html:12359; LipoScope.html:12356; LipoScope.html:12429; LipoScope.html:12433; LipoScope.html:12590; LipoScope.html:1857,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Blueprint Export,Treatment exposure,treatment_exposure,buildEligibilityPlan; cohortTemplateHtml; cohortTemplateText; cohortMethodsSentence; cohortCaseCsvRows; downloadAtlasExport,Delphi+CCRF,S29-S40; S45-S52,Conservative/surgical treatment exposure fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,4,LipoScope.html:12359; LipoScope.html:12356; LipoScope.html:12429; LipoScope.html:12433; LipoScope.html:12590; LipoScope.html:1857,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Blueprint Export,Outcomes and follow-up,outcomes_followup,buildEligibilityPlan; cohortTemplateHtml; cohortTemplateText; cohortMethodsSentence; cohortCaseCsvRows; downloadAtlasExport,Delphi+CCRF,S29-S40; S45-S52,Outcomes / follow-up / adverse event fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,7,LipoScope.html:12359; LipoScope.html:12356; LipoScope.html:12429; LipoScope.html:12433; LipoScope.html:12590; LipoScope.html:1857,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Blueprint Export,Family history and genetics,family_genetics,buildEligibilityPlan; cohortTemplateHtml; cohortTemplateText; cohortMethodsSentence; cohortCaseCsvRows; downloadAtlasExport,Delphi+CCRF,S53-S59,Family history / genetics study fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,8,LipoScope.html:12359; LipoScope.html:12356; LipoScope.html:12429; LipoScope.html:12433; LipoScope.html:12590; LipoScope.html:1857,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Blueprint Export,Biomarkers and omics,biomarkers_omics,buildEligibilityPlan; cohortTemplateHtml; cohortTemplateText; cohortMethodsSentence; cohortCaseCsvRows; downloadAtlasExport,Delphi+CCRF,S53-S59,Biomarker/omics/specimen metadata fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,7,LipoScope.html:12359; LipoScope.html:12356; LipoScope.html:12429; LipoScope.html:12433; LipoScope.html:12590; LipoScope.html:1857,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Blueprint Export,Future validation and reproducibility needs,future_validation,buildEligibilityPlan; cohortTemplateHtml; cohortTemplateText; cohortMethodsSentence; cohortCaseCsvRows; downloadAtlasExport,Delphi+CCRF+PubMed,S53-S59,Study-specific / validation / exploratory fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,10,LipoScope.html:12359; LipoScope.html:12356; LipoScope.html:12429; LipoScope.html:12433; LipoScope.html:12590; LipoScope.html:1857,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
